layer_id,layer_name,conv_type,kernel_zyx,padding_zyx,stride_zyx,output_shape_zyx,peak_blocks,peak_dram_bytes,peak_dram_mib,ifm_c,ifm_extent,ifm_allocated,ifm_voxels,ifm_coordinate_count,ifm_coordinate_sha256,ifm_coordinate_unique,ifm_blocks,ifm_grid_tiles,ifm_sum_nb,ifm_bytes_per_voxel,ifm_block_bytes,ifm_dram_bytes,ifm_dram_mib,ifm_useful_bytes,ifm_occupancy,ifm_semantic_channel_bytes,ifm_semantic_ratio,ofm_c,ofm_extent,ofm_allocated,ofm_voxels,ofm_coordinate_count,ofm_coordinate_sha256,ofm_coordinate_unique,ofm_blocks,ofm_grid_tiles,ofm_sum_nb,ofm_bytes_per_voxel,ofm_block_bytes,ofm_dram_bytes,ofm_dram_mib,ofm_useful_bytes,ofm_occupancy,ofm_semantic_channel_bytes,ofm_semantic_ratio
0,conv_input.0,SubMConv3d,3x3x3,1x1x1,1x1x1,41x1600x1408,8739,94665600,90.2802,4,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,12,7200,31176000,29.7318,382944,0.012283,60000,0.001925,16,"x:[-2,0] y:[-2,0] z:[-2,0]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4409,157920,32439,24,14400,63489600,60.5484,778536,0.012262,240000,0.003780
1,conv1.0.0,SubMConv3d,3x3x3,0x0x0,1x1x1,41x1600x1408,8739,125841600,120.0119,16,"x:[-2,0] y:[-2,0] z:[-2,0]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4409,157920,32439,24,14400,63489600,60.5484,778536,0.012262,240000,0.003780,16,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,24,14400,62352000,59.4635,765888,0.012283,240000,0.003849
2,conv2.0.0,SparseConv3d,3x3x3,1x1x1,2x2x2,21x800x704,6446,113136000,107.8949,16,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,24,14400,62352000,59.4635,765888,0.012283,240000,0.003849,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,40,24000,50784000,48.4314,2325760,0.045797,824384,0.016233
3,conv2.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,21x800x704,4232,101568000,96.8628,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,40,24000,50784000,48.4314,2325760,0.045797,824384,0.016233,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,40,24000,50784000,48.4314,2325760,0.045797,824384,0.016233
4,conv2.2.0,SubMConv3d,3x3x3,0x0x0,1x1x1,21x800x704,4125,99000000,94.4138,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,40,24000,50784000,48.4314,2325760,0.045797,824384,0.016233,32,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2009,22720,53457,40,24000,48216000,45.9824,2138280,0.044348,824384,0.017098
5,conv3.0.0,SparseConv3d,3x3x3,1x1x1,2x2x2,11x400x352,2580,72883200,69.5068,32,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2009,22720,53457,40,24000,48216000,45.9824,2138280,0.044348,824384,0.017098,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,72,43200,24667200,23.5245,2308392,0.093581,1221696,0.049527
6,conv3.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,11x400x352,1142,49334400,47.0490,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,72,43200,24667200,23.5245,2308392,0.093581,1221696,0.049527,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,72,43200,24667200,23.5245,2308392,0.093581,1221696,0.049527
7,conv3.2.0,SubMConv3d,3x3x3,0x0x0,1x1x1,11x400x352,1124,48556800,46.3074,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,72,43200,24667200,23.5245,2308392,0.093581,1221696,0.049527,64,"x:[-1,+1] y:[-1,+1] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,553,2880,31575,72,43200,23889600,22.7829,2273400,0.095163,1221696,0.051139
8,conv4.0.0,SparseConv3d,3x3x3,0x1x1,2x2x2,5x200x176,712,30758400,29.3335,64,"x:[-1,+1] y:[-1,+1] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,553,2880,31575,72,43200,23889600,22.7829,2273400,0.095163,1221696,0.051139,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,72,43200,6868800,6.5506,884232,0.128732,543680,0.079152
9,conv4.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,5x200x176,318,13737600,13.1012,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,72,43200,6868800,6.5506,884232,0.128732,543680,0.079152,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,72,43200,6868800,6.5506,884232,0.128732,543680,0.079152
