activation_id,name,scale,zero_point,signed,qmin,qmax,seen
0,input,0.5543306469917297,0,True,-127,127,True
1,l00_conv_input,0.04647153243422508,0,True,-127,127,True
2,l01_conv1,0.0737324208021164,0,True,-127,127,True
3,l02_conv2_0,0.13493476808071136,0,True,-127,127,True
4,l03_conv2_1,0.11948297172784805,0,True,-127,127,True
5,l04_conv2_2,0.10343006253242493,0,True,-127,127,True
6,l05_conv3_0,0.14825761318206787,0,True,-127,127,True
7,l06_conv3_1,0.06905422359704971,0,True,-127,127,True
8,l07_conv3_2,0.10602833330631256,0,True,-127,127,True
9,l08_conv4_0,0.1993330866098404,0,True,-127,127,True
10,l09_conv4_1,0.10173412412405014,0,True,-127,127,True
11,l10_conv4_2,0.12830764055252075,0,True,-127,127,True
12,l11_conv_out,0.21720844507217407,0,True,-127,127,True
