layer_id,layer_name,stage,channels,bytes_per_voxel,page_bytes,pages,dram_bytes,dram_mib,packed_dram_bytes,occupancy,ifm_ofm_dram_bytes,ifm_ofm_dram_mib,nonempty_voxels,nonempty_blocks,mean_nb,max_nb,bin_1_16,bin_17_32,bin_33_48,bin_49_64,bin_65_80,bin_81_96,bin_97_112,bin_113_128,bin_129_144,bin_145_160,bin_161_176,bin_177_192,bin_193_208,bin_209_224,bin_225_240,bin_241_256,bin_257_272,bin_273_288,bin_289_304,bin_305_320,bin_321_336,bin_337_352,bin_353_368,bin_369_384,bin_385_400,bin_401_416,bin_417_432,bin_433_448,bin_449_464,bin_465_480
-1,input,0,4,12,768,1148,881664,0.8408,180000,0.204159,881664,0.8408,15000,1110,19.2423,219,599,356,93,31,10,8,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,conv_input.0,0,16,24,1536,1148,1763328,1.6816,360000,0.204159,2644992,2.5225,15000,1110,19.2423,219,599,356,93,31,10,8,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,conv1.0.0,0,16,24,1536,1148,1763328,1.6816,360000,0.204159,3526656,3.3633,15000,1110,19.2423,219,599,356,93,31,10,8,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,conv2.0.0,1,32,40,2560,1781,4559360,4.3481,1030480,0.226014,6322688,6.0298,25762,1511,33.6102,477,562,435,203,113,79,32,29,16,8,3,7,3,6,3,6,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1
3,conv2.1.0,1,32,40,2560,1781,4559360,4.3481,1030480,0.226014,9118720,8.6963,25762,1511,33.6102,477,562,435,203,113,79,32,29,16,8,3,7,3,6,3,6,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1
4,conv2.2.0,1,32,40,2560,1781,4559360,4.3481,1030480,0.226014,9118720,8.6963,25762,1511,33.6102,477,562,435,203,113,79,32,29,16,8,3,7,3,6,3,6,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1
5,conv3.0.0,2,64,72,4608,1341,6179328,5.8931,1374408,0.222420,10738688,10.2412,19089,1132,35.5274,207,382,301,169,99,68,47,25,14,12,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,conv3.1.0,2,64,72,4608,1341,6179328,5.8931,1374408,0.222420,12358656,11.7861,19089,1132,35.5274,207,382,301,169,99,68,47,25,14,12,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,conv3.2.0,2,64,72,4608,1341,6179328,5.8931,1374408,0.222420,12358656,11.7861,19089,1132,35.5274,207,382,301,169,99,68,47,25,14,12,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,conv4.0.0,3,64,72,4608,501,2308608,2.2017,611640,0.264939,8487936,8.0947,8495,407,41.4545,184,101,92,76,49,39,23,11,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,conv4.1.0,3,64,72,4608,501,2308608,2.2017,611640,0.264939,4617216,4.4033,8495,407,41.4545,184,101,92,76,49,39,23,11,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,conv4.2.0,3,64,72,4608,501,2308608,2.2017,611640,0.264939,4617216,4.4033,8495,407,41.4545,184,101,92,76,49,39,23,11,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,conv_out.0,3,128,136,8704,451,3925504,3.7437,899232,0.229074,6234112,5.9453,6612,407,32.1376,138,130,99,76,59,35,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
