layer_id,module_name,cout,min,max,max_abs,signed_bits_needed,p99_abs,p999_abs,outlier_channels,shift_min,shift_max
0,conv_input.0,16,-430,3267,3267,13,3078.4499999999994,3248.1450000000013,,2,8
1,conv1.0.0,16,-4231,13050,13050,15,12403.949999999999,12985.395000000006,,8,10
2,conv2.0.0,32,-1705,3902,3902,13,3795.0500000000006,3891.3050000000017,,8,10
3,conv2.1.0,32,-4537,6980,6980,14,6894.75,6971.475000000001,,8,11
4,conv2.2.0,32,-1921,5980,5980,14,5841.120000000001,5966.112000000002,,8,10
5,conv3.0.0,64,-3747,6457,6457,14,5854.089999999997,6396.709000000004,,9,11
6,conv3.1.0,64,-6428,6082,6428,14,6210.0199999999995,6406.202000000002,,8,10
7,conv3.2.0,64,-10047,7056,10047,15,9058.529999999995,9948.153000000008,,9,11
8,conv4.0.0,64,-2643,5483,5483,14,4350.889999999996,5369.789000000009,,9,11
9,conv4.1.0,64,-4506,4000,4506,14,4187.219999999998,4474.122000000002,,8,10
10,conv4.2.0,64,-13546,8743,13546,15,11694.429999999993,13360.843000000013,,10,11
11,conv_out.0,128,-2905,691,2905,13,2533.960000000001,2866.5190000000057,,8,10
