layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
0,conv_input.0,0,355,10,6,0.5543306469917297,0.0013573197647929192,0.04647153243422508,0.01619064196897874,0.015625,0.034936352126278214,True,True
0,conv_input.0,1,187,9,6,0.5543306469917297,0.001653375686146319,0.04647153243422508,0.01972211299722264,0.015625,0.20774209121505469,True,True
0,conv_input.0,2,13,5,2,0.5543306469917297,0.02683071233332157,0.04647153243422508,0.3200472493139797,0.25,0.21886533774036732,True,True
0,conv_input.0,3,284,10,8,0.5543306469917297,0.0004462212964426726,0.04647153243422508,0.005322702458944203,0.00390625,0.26611528069994106,True,True
0,conv_input.0,4,3267,13,8,0.5543306469917297,0.00032898137578740716,0.04647153243422508,0.003924218749329559,0.00390625,0.0045789367202398006,True,True
0,conv_input.0,5,-164,9,4,0.5543306469917297,0.004023970104753971,0.04647153243422508,0.04799949205033877,0.0625,0.3020971124955662,True,True
0,conv_input.0,6,1149,12,8,0.5543306469917297,0.0004080148064531386,0.04647153243422508,0.004866960476577733,0.00390625,0.19739434523891372,True,True
0,conv_input.0,7,-430,10,5,0.5543306469917297,0.0022742676082998514,0.04647153243422508,0.027128355117739138,0.03125,0.1519312492177505,True,True
0,conv_input.0,8,-258,10,4,0.5543306469917297,0.005712986458092928,0.04647153243422508,0.06814674089028568,0.0625,0.08286149589129682,True,True
0,conv_input.0,9,-152,9,5,0.5543306469917297,0.003580527612939477,0.04647153243422508,0.042709936261769214,0.03125,0.2683201443226527,True,True
0,conv_input.0,10,62,7,6,0.5543306469917297,0.0009943636832758784,0.04647153243422508,0.01186115961799977,0.015625,0.31732482347581387,True,True
0,conv_input.0,11,-376,10,4,0.5543306469917297,0.0040291305631399155,0.04647153243422508,0.0480610480198972,0.0625,0.30042940333146917,True,True
0,conv_input.0,12,-144,9,4,0.5543306469917297,0.004708323162049055,0.04647153243422508,0.056162723455674676,0.0625,0.11283777129018494,True,True
0,conv_input.0,13,1340,12,6,0.5543306469917297,0.0014094756916165352,0.04647153243422508,0.016812778299462552,0.015625,0.07064735395342255,True,True
0,conv_input.0,14,2010,12,8,0.5543306469917297,0.0003812416980508715,0.04647153243422508,0.004547600349523298,0.00390625,0.14103049965473055,True,True
0,conv_input.0,15,-140,9,5,0.5543306469917297,0.0028147215489298105,0.04647153243422508,0.033575101478054876,0.03125,0.06925076546900664,True,True
1,conv1.0.0,0,7827,14,9,0.04647153243422508,0.0023306545335799456,0.0737324208021164,0.001468947941380019,0.001953125,0.32960804462894416,True,True
1,conv1.0.0,1,3452,13,8,0.04647153243422508,0.006897827610373497,0.0737324208021164,0.0043475124786892146,0.00390625,0.10149769111698013,True,True
1,conv1.0.0,2,1642,12,10,0.04647153243422508,0.0018122117035090923,0.0737324208021164,0.0011421875755758145,0.0009765625,0.14500689651812873,True,True
1,conv1.0.0,3,-4231,14,8,0.04647153243422508,0.005125340074300766,0.0737324208021164,0.0032303619616469302,0.00390625,0.2092298158465446,True,True
1,conv1.0.0,4,2185,13,9,0.04647153243422508,0.0031955663580447435,0.0737324208021164,0.002014078258086058,0.001953125,0.0302635996597177,True,True
1,conv1.0.0,5,55,7,8,0.04647153243422508,0.005035145208239555,0.0737324208021164,0.003173514599279522,0.00390625,0.23089082397378283,True,True
