record_name,module_name,source,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,active_voxels,channels,total_elements,zero_elements,nonzero_elements,zero_ratio,nonzero_ratio,avg_zero_channels_per_voxel,avg_nonzero_channels_per_voxel,all_zero_voxel_ratio,zero_channel_ratio_p50,zero_channel_ratio_p90,zero_channel_ratio_p95,zero_channel_ratio_p99,zero_channel_ratio_max
input_voxel_features,conv_input,backbone_input,InputFeatures,,41x1600x1408,15000x4,15000,4,60000,1584,58416,0.0264,0.9736,0.10559999942779541,3.8944000005722046,0.0,0.0,0.25,0.25,0.25,0.25
conv_input,conv_input.0,layer_input,SubMConv3d,subm1,41x1600x1408,15000x4,15000,4,60000,1584,58416,0.0264,0.9736,0.10559999942779541,3.8944000005722046,0.0,0.0,0.25,0.25,0.25,0.25
conv1.0,conv1.0.0,layer_input,SubMConv3d,subm1,41x1600x1408,15000x16,15000,16,240000,108461,131539,0.4519208333333333,0.5480791666666667,7.230733394622803,8.769266605377197,0.0,0.4375,0.625,0.625,0.6875,0.875
conv2.0,conv2.0.0,layer_input,SparseConv3d,spconv2,41x1600x1408,15000x16,15000,16,240000,97929,142071,0.4080375,0.5919625,6.528600215911865,9.471399784088135,0.0004000000189989805,0.375,0.75,0.8125,0.875,1.0
conv2.1,conv2.1.0,layer_input,SubMConv3d,subm2,21x800x704,23441x32,23441,32,750112,340305,409807,0.4536722516104262,0.5463277483895739,14.517512321472168,17.482487678527832,0.0,0.4375,0.59375,0.625,0.6875,0.84375
conv2.2,conv2.2.0,layer_input,SubMConv3d,subm2,21x800x704,23441x32,23441,32,750112,425789,324323,0.5676339000042661,0.43236609999573394,18.16428565979004,13.835714340209961,4.266029645805247e-05,0.59375,0.75,0.8125,0.875,1.0
conv3.0,conv3.0.0,layer_input,SparseConv3d,spconv3,21x800x704,23441x32,23441,32,750112,389749,360363,0.5195877415639265,0.48041225843607355,16.626808166503906,15.373191833496094,0.0,0.53125,0.71875,0.78125,0.84375,0.9375
conv3.1,conv3.1.0,layer_input,SubMConv3d,subm3,11x400x352,13337x64,13337,64,853568,467553,386015,0.5477630370398141,0.45223696296018595,35.05683517456055,28.943164825439453,0.0,0.546875,0.6875,0.71875,0.78125,0.875
conv3.2,conv3.2.0,layer_input,SubMConv3d,subm3,11x400x352,13337x64,13337,64,853568,589558,264010,0.6906983392067182,0.30930166079328186,44.20469665527344,19.795303344726562,0.0,0.703125,0.828125,0.84375,0.890625,0.96875
conv4.0,conv4.0.0,layer_input,SparseConv3d,spconv4,11x400x352,13337x64,13337,64,853568,624422,229146,0.7315433568268727,0.2684566431731274,46.81877517700195,17.181224822998047,0.0,0.75,0.859375,0.890625,0.921875,0.984375
conv4.1,conv4.1.0,layer_input,SubMConv3d,subm4,5x200x176,5651x64,5651,64,361664,213727,147937,0.5909545876835959,0.4090454123164042,37.82109451293945,26.178905487060547,0.0,0.578125,0.734375,0.78125,0.84375,0.90625
conv4.2,conv4.2.0,layer_input,SubMConv3d,subm4,5x200x176,5651x64,5651,64,361664,230294,131370,0.6367622987081932,0.36323770129180677,40.75278854370117,23.247211456298828,0.0,0.65625,0.765625,0.796875,0.84375,0.90625
conv_out,conv_out.0,layer_input,SparseConv3d,spconv_down2,5x200x176,5651x64,5651,64,361664,236680,124984,0.6544195717572111,0.3455804282427889,41.88285446166992,22.117145538330078,0.0,0.65625,0.765625,0.78125,0.828125,0.890625
