frame_id,layer_id,module_name,conv_type,indice_key,cin,cout,num_input_voxels,num_output_voxels,mean_ms,p50_ms,p90_ms,p99_ms,std_ms,min_ms,max_ms,share_pct,kept_as
000216,0,conv_input.0,SubMConv3d,subm1,4,16,15000,15000,1.2354,1.236,1.274,1.2831,0.0278,1.1725,1.2831,8.05,
000216,1,conv1.0.0,SubMConv3d,subm1,16,16,15000,15000,0.8919,0.894,0.9216,0.9331,0.0248,0.8355,0.9331,5.81,x_conv1
000216,2,conv2.0.0,SparseConv3d,spconv2,16,32,15000,25762,1.6238,1.6148,1.6681,1.9057,0.0675,1.5372,1.9057,10.58,
000216,3,conv2.1.0,SubMConv3d,subm2,32,32,25762,25762,1.2509,1.2462,1.278,1.5196,0.0551,1.1766,1.5196,8.15,
000216,4,conv2.2.0,SubMConv3d,subm2,32,32,25762,25762,0.9017,0.9042,0.9298,0.9984,0.0267,0.8417,0.9984,5.88,x_conv2
000216,5,conv3.0.0,SparseConv3d,spconv3,32,64,25762,19089,1.6723,1.666,1.706,1.9814,0.0706,1.5761,1.9814,10.9,
000216,6,conv3.1.0,SubMConv3d,subm3,64,64,19089,19089,1.2856,1.2788,1.3179,1.5677,0.0518,1.2124,1.5677,8.38,
000216,7,conv3.2.0,SubMConv3d,subm3,64,64,19089,19089,0.9508,0.95,0.9746,0.9994,0.0193,0.8991,0.9994,6.2,x_conv3
000216,8,conv4.0.0,SparseConv3d,spconv4,64,64,19089,8495,1.682,1.6673,1.7161,2.3665,0.1058,1.6098,2.3665,10.96,
000216,9,conv4.1.0,SubMConv3d,subm4,64,64,8495,8495,1.2759,1.2708,1.3137,1.4725,0.0433,1.1899,1.4725,8.31,
000216,10,conv4.2.0,SubMConv3d,subm4,64,64,8495,8495,0.9574,0.9503,0.981,1.1712,0.0418,0.8991,1.1712,6.24,x_conv4
000216,11,conv_out.0,SparseConv3d,spconv_down2,64,128,8495,6612,1.6193,1.5985,1.7113,1.9681,0.0914,1.5024,1.9681,10.55,
