frame_id,layer_id,module_name,conv_type,indice_key,cin,cout,num_input_voxels,num_output_voxels,input_feature_mb,output_feature_mb,output_feature_int8_mb,output_indices_mb,output_indice_dict_mb,weight_int8_mb,weight_fp32_runtime_mb,delta_allocated_mb,peak_extra_allocated_mb,live_allocated_mb,live_reserved_mb,kept_as
000216,0,conv_input.0,SubMConv3d,subm1,4,16,15000,15000,0.2289,0.9155,0.2289,0.2289,1.8883,0.0016,0.0066,2.8999,5.8916,31.0391,94.0,
000216,1,conv1.0.0,SubMConv3d,subm1,16,16,15000,15000,0.9155,0.9155,0.2289,0.2289,1.8883,0.0066,0.0264,0.9155,4.6328,31.9546,96.0,x_conv1
000216,2,conv2.0.0,SparseConv3d,spconv2,16,32,15000,25762,0.9155,3.1448,0.7862,0.3931,6.7907,0.0132,0.0527,8.0503,18.5088,39.0894,96.0,
000216,3,conv2.1.0,SubMConv3d,subm2,32,32,25762,25762,3.1448,3.1448,0.7862,0.3931,9.6407,0.0264,0.1055,5.9961,18.7896,45.0854,96.0,
000216,4,conv2.2.0,SubMConv3d,subm2,32,32,25762,25762,3.1448,3.1448,0.7862,0.3931,9.6407,0.0264,0.1055,3.145,15.9385,45.0854,96.0,x_conv2
000216,5,conv3.0.0,SparseConv3d,spconv3,32,64,25762,19089,3.1448,4.6604,1.1651,0.2913,14.8936,0.0527,0.2109,11.0654,29.3271,53.0059,96.0,
000216,6,conv3.1.0,SubMConv3d,subm3,64,64,19089,19089,4.6604,4.6604,1.1651,0.2913,17.0054,0.1055,0.4219,7.4609,27.6602,60.4668,96.0,
000216,7,conv3.2.0,SubMConv3d,subm3,64,64,19089,19089,4.6604,4.6604,1.1651,0.2913,17.0054,0.1055,0.4219,5.3711,24.8599,61.1772,96.0,x_conv3
000216,8,conv4.0.0,SparseConv3d,spconv4,64,64,19089,8495,4.6604,2.074,0.5185,0.1296,20.1865,0.1055,0.4219,5.7695,17.499,62.2861,96.0,
000216,9,conv4.1.0,SubMConv3d,subm4,64,64,8495,8495,2.074,2.074,0.5185,0.1296,21.1263,0.1055,0.4219,3.5269,12.6699,65.813,96.0,
000216,10,conv4.2.0,SubMConv3d,subm4,64,64,8495,8495,2.074,2.074,0.5185,0.1296,21.1263,0.1055,0.4219,2.5864,11.7295,65.813,96.0,x_conv4
000216,11,conv_out.0,SparseConv3d,spconv_down2,64,128,8495,6612,2.074,3.2285,0.8071,0.1009,21.5153,0.0234,0.0938,3.6191,15.5688,66.8457,96.0,
