layer_name,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,feature_channels,total_cells,active_voxels,sparsity,active_ratio_vs_prev,active_ratio_vs_input
input_voxelized,InputSparseTensor,,41x1600x1408,15000x4,4,92364800,15000,0.0001623995288248337,1.0,1.0
conv_input.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv1.0.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv2.0.0,SparseConv3d,spconv2,21x800x704,35832x32,32,11827200,35832,0.0030296266233766234,2.3888,2.3888
conv2.1.0,SubMConv3d,subm2,21x800x704,35832x32,32,11827200,35832,0.0030296266233766234,1.0,2.3888
conv2.2.0,SubMConv3d,subm2,21x800x704,35832x32,32,11827200,35832,0.0030296266233766234,1.0,2.3888
conv3.0.0,SparseConv3d,spconv3,11x400x352,29831x64,64,1548800,29831,0.01926071797520661,0.8325240008930564,1.9887333333333332
conv3.1.0,SubMConv3d,subm3,11x400x352,29831x64,64,1548800,29831,0.01926071797520661,1.0,1.9887333333333332
conv3.2.0,SubMConv3d,subm3,11x400x352,29831x64,64,1548800,29831,0.01926071797520661,1.0,1.9887333333333332
conv4.0.0,SparseConv3d,spconv4,5x200x176,15716x64,64,176000,15716,0.08929545454545454,0.5268345010224263,1.0477333333333334
conv4.1.0,SubMConv3d,subm4,5x200x176,15716x64,64,176000,15716,0.08929545454545454,1.0,1.0477333333333334
conv4.2.0,SubMConv3d,subm4,5x200x176,15716x64,64,176000,15716,0.08929545454545454,1.0,1.0477333333333334
conv_out.0,SparseConv3d,spconv_down2,2x200x176,11465x128,128,70400,11465,0.16285511363636362,0.7295113260371596,0.7643333333333333
