ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
0,0,64,8x8x16,8,8,16,106,0.990566,80.00,0.009434,24.56,209,1
0,0,64,8x16x16,8,16,16,87,0.988506,81.40,0.011494,27.36,209,1
0,0,64,16x16x16,16,16,16,67,0.955224,120.00,0.044776,33.42,213,1
0,0,64,16x32x16,16,32,16,48,0.937500,126.90,0.062500,44.15,213,0
0,0,64,32x32x16,32,32,16,42,0.928571,128.75,0.071429,47.86,213,0
0,0,64,32x64x16,32,64,16,39,0.846154,162.30,0.153846,48.46,213,0
0,0,64,64x64x16,64,64,16,39,0.846154,162.30,0.153846,48.46,213,0
1,64,128,8x8x16,8,8,16,7177,0.970322,98.00,0.029678,26.33,442,1
1,64,128,8x16x16,8,16,16,4567,0.945697,133.40,0.054303,37.17,543,0
1,64,128,16x16x16,16,16,16,3019,0.907917,193.10,0.092083,51.09,842,0
1,64,128,16x32x16,16,32,16,2112,0.840909,239.45,0.159091,68.77,856,0
1,64,128,32x32x16,32,32,16,1562,0.807298,343.90,0.192702,87.82,1273,0
1,64,128,32x64x16,32,64,16,1107,0.698284,437.30,0.301716,121.18,1273,0
1,64,128,64x64x16,64,64,16,946,0.677590,546.25,0.322410,139.31,2218,0
2,128,192,8x8x16,8,8,16,53939,0.991305,41.00,0.008695,18.51,459,1
2,128,192,8x16x16,8,16,16,30026,0.982215,66.00,0.017785,29.87,536,1
2,128,192,16x16x16,16,16,16,16398,0.962130,111.00,0.037870,49.10,662,1
2,128,192,16x32x16,16,32,16,9512,0.856707,178.00,0.143293,79.70,1013,0
2,128,192,32x32x16,32,32,16,5358,0.499813,304.00,0.500187,134.16,1237,0
2,128,192,32x64x16,32,64,16,3500,0.456286,507.00,0.543714,199.88,1533,0
2,128,192,64x64x16,64,64,16,1989,0.405732,860.20,0.594268,339.97,2198,0
3,192,256,8x8x16,8,8,16,77444,0.994680,36.00,0.005320,13.58,272,1
3,192,256,8x16x16,8,16,16,43772,0.988600,55.00,0.011400,21.64,435,1
3,192,256,16x16x16,16,16,16,24058,0.970031,96.00,0.029969,35.52,504,1
3,192,256,16x32x16,16,32,16,13865,0.938118,148.00,0.061882,58.18,841,0
3,192,256,32x32x16,32,32,16,7451,0.749832,253.00,0.250168,101.83,1033,0
3,192,256,32x64x16,32,64,16,4556,0.426251,393.00,0.573749,161.81,1884,0
3,192,256,64x64x16,64,64,16,2674,0.379955,677.00,0.620045,268.61,2008,0
4,256,320,8x8x16,8,8,16,85593,0.998551,29.00,0.001449,10.46,191,1
4,256,320,8x16x16,8,16,16,50364,0.993845,43.00,0.006155,16.00,282,1
4,256,320,16x16x16,16,16,16,28532,0.983282,72.00,0.016718,25.41,343,1
4,256,320,16x32x16,16,32,16,16557,0.962070,109.20,0.037930,41.26,543,1
4,256,320,32x32x16,32,32,16,9104,0.902131,188.00,0.097869,70.68,608,0
4,256,320,32x64x16,32,64,16,5517,0.609570,267.00,0.390430,113.28,1030,0
4,256,320,64x64x16,64,64,16,3116,0.449936,463.25,0.550064,194.95,1221,0
5,320,384,8x8x16,8,8,16,73386,0.999905,22.00,0.000095,7.83,137,1
5,320,384,8x16x16,8,16,16,45894,0.998867,31.00,0.001133,11.26,240,1
5,320,384,16x16x16,16,16,16,29141,0.995642,46.00,0.004358,15.87,261,1
5,320,384,16x32x16,16,32,16,17454,0.986994,68.00,0.013006,24.99,425,1
5,320,384,32x32x16,32,32,16,9871,0.958869,114.00,0.041131,41.68,472,1
5,320,384,32x64x16,32,64,16,6063,0.897740,168.00,0.102260,65.99,736,0
5,320,384,64x64x16,64,64,16,3429,0.604258,291.20,0.395742,113.49,861,0
6,384,448,8x8x16,8,8,16,63094,1.000000,17.00,0.000000,6.31,113,1
6,384,448,8x16x16,8,16,16,40785,0.999264,23.00,0.000736,8.78,183,1
6,384,448,16x16x16,16,16,16,26618,0.998272,35.00,0.001728,12.10,219,1
6,384,448,16x32x16,16,32,16,16758,0.993257,49.00,0.006743,18.11,315,1
6,384,448,32x32x16,32,32,16,9888,0.980583,80.00,0.019417,29.08,407,1
6,384,448,32x64x16,32,64,16,6184,0.960705,114.00,0.039295,45.20,589,1
6,384,448,64x64x16,64,64,16,3433,0.815322,198.00,0.184678,78.70,782,0
7,448,512,8x8x16,8,8,16,55802,1.000000,14.00,0.000000,5.18,103,1
7,448,512,8x16x16,8,16,16,36996,0.999919,18.00,0.000081,7.03,135,1
7,448,512,16x16x16,16,16,16,24390,0.999672,27.00,0.000328,9.59,184,1
7,448,512,16x32x16,16,32,16,15916,0.997612,37.00,0.002388,13.86,246,1
7,448,512,32x32x16,32,32,16,10008,0.993106,59.00,0.006894,20.83,311,1
7,448,512,32x64x16,32,64,16,6324,0.981657,87.00,0.018343,32.01,462,1
7,448,512,64x64x16,64,64,16,3626,0.936018,143.00,0.063982,54.18,565,0
8,512,576,8x8x16,8,8,16,48327,1.000000,11.00,0.000000,4.33,72,1
8,512,576,8x16x16,8,16,16,32750,1.000000,15.00,0.000000,5.74,115,1
8,512,576,16x16x16,16,16,16,21802,1.000000,22.00,0.000000,7.73,115,1
8,512,576,16x32x16,16,32,16,14642,0.999454,30.00,0.000546,10.87,165,1
8,512,576,32x32x16,32,32,16,9597,0.998437,45.00,0.001563,15.70,187,1
8,512,576,32x64x16,32,64,16,6198,0.992094,64.00,0.007906,23.61,313,1
8,512,576,64x64x16,64,64,16,3654,0.969349,104.00,0.030651,38.83,313,1
9,576,640,8x8x16,8,8,16,42446,1.000000,10.00,0.000000,3.81,58,1
9,576,640,8x16x16,8,16,16,29313,1.000000,13.00,0.000000,4.97,103,1
9,576,640,16x16x16,16,16,16,19679,1.000000,19.00,0.000000,6.67,103,1
9,576,640,16x32x16,16,32,16,13477,0.999777,26.00,0.000223,9.18,177,1
9,576,640,32x32x16,32,32,16,8947,0.999329,39.00,0.000671,13.04,198,1
9,576,640,32x64x16,32,64,16,5996,0.996498,55.00,0.003502,18.88,319,1
9,576,640,64x64x16,64,64,16,3636,0.984598,87.00,0.015402,30.23,354,1
10,640,704,8x8x16,8,8,16,37013,1.000000,9.00,0.000000,3.38,48,1
10,640,704,8x16x16,8,16,16,25816,1.000000,11.00,0.000000,4.36,73,1
10,640,704,16x16x16,16,16,16,17454,1.000000,16.00,0.000000,5.83,92,1
10,640,704,16x32x16,16,32,16,12190,0.999836,21.00,0.000164,7.86,135,1
10,640,704,32x32x16,32,32,16,8176,0.999388,33.00,0.000612,11.10,156,1
10,640,704,32x64x16,32,64,16,5667,0.998235,44.00,0.001765,15.54,240,1
10,640,704,64x64x16,64,64,16,3552,0.992399,71.00,0.007601,24.01,298,1
11,704,768,8x8x16,8,8,16,32576,1.000000,8.00,0.000000,3.00,32,1
11,704,768,8x16x16,8,16,16,23074,1.000000,10.00,0.000000,3.81,50,1
11,704,768,16x16x16,16,16,16,15661,1.000000,14.00,0.000000,5.05,52,1
11,704,768,16x32x16,16,32,16,11094,1.000000,19.00,0.000000,6.75,94,1
11,704,768,32x32x16,32,32,16,7495,1.000000,28.00,0.000000,9.45,107,1
