ring_j,interval,Bstar_200,R_200,n_200,Bstar_400,R_400,n_400,changed
0,"[0,64)",16x16x16,0.955224,67,16x16x16,0.952000,125,0
1,"[64,128)",8x8x16,0.970322,7177,8x8x16,0.970443,14345,0
2,"[128,192)",16x16x16,0.962130,16398,16x16x16,0.958749,32993,0
3,"[192,256)",16x16x16,0.970031,24058,16x16x16,0.969861,48277,0
4,"[256,320)",16x32x16,0.962070,16557,16x32x16,0.958286,32843,0
5,"[320,384)",32x32x16,0.958869,9871,32x32x16,0.956035,19379,0
6,"[384,448)",32x64x16,0.960705,6184,32x64x16,0.960262,12205,0
7,"[448,512)",32x64x16,0.981657,6324,32x64x16,0.982154,12384,0
8,"[512,576)",64x64x16,0.969349,3654,64x64x16,0.973371,7060,0
9,"[576,640)",64x64x16,0.984598,3636,64x64x16,0.985278,7132,0
10,"[640,704)",64x64x16,0.992399,3552,64x64x16,0.993463,7037,0
11,"[704,768)",64x64x16,0.997616,3356,64x64x16,0.997333,6748,0
12,"[768,832)",64x64x16,0.999393,3293,64x64x16,0.999540,6522,0
13,"[832,896)",64x64x16,1.000000,2845,64x64x16,1.000000,5759,0
14,"[896,960)",64x64x16,0.999625,2670,64x64x16,0.999816,5423,0
15,"[960,1024)",64x64x16,1.000000,2472,64x64x16,1.000000,5097,0
16,"[1024,1088)",64x64x16,1.000000,2153,64x64x16,1.000000,4402,0
17,"[1088,1152)",64x64x16,1.000000,1866,64x64x16,1.000000,3713,0
18,"[1152,1216)",64x64x16,1.000000,1763,64x64x16,1.000000,3584,0
19,"[1216,1280)",64x64x16,1.000000,1607,64x64x16,1.000000,3259,0
20,"[1280,1344)",64x64x16,1.000000,1356,64x64x16,1.000000,2752,0
21,"[1344,1408)",64x64x16,1.000000,1132,64x64x16,1.000000,2322,0
