ring_j,inner_T,outer_T,Bstar,bx,by,bz,n_samples_at_Bstar,coverage_at_Bstar,low_sample,note
0,0,64,16x16x16,16,16,16,125,0.952000,0,
1,64,128,8x8x16,8,8,16,14345,0.970443,0,
2,128,192,16x16x16,16,16,16,32993,0.958749,0,
3,192,256,16x16x16,16,16,16,48277,0.969861,0,
4,256,320,16x32x16,16,32,16,32843,0.958286,0,
5,320,384,32x32x16,32,32,16,19379,0.956035,0,
6,384,448,32x64x16,32,64,16,12205,0.960262,0,
7,448,512,32x64x16,32,64,16,12384,0.982154,0,
8,512,576,64x64x16,64,64,16,7060,0.973371,0,
9,576,640,64x64x16,64,64,16,7132,0.985278,0,
10,640,704,64x64x16,64,64,16,7037,0.993463,0,
11,704,768,64x64x16,64,64,16,6748,0.997333,0,
12,768,832,64x64x16,64,64,16,6522,0.999540,0,
13,832,896,64x64x16,64,64,16,5759,1.000000,0,
14,896,960,64x64x16,64,64,16,5423,0.999816,0,
15,960,1024,64x64x16,64,64,16,5097,1.000000,0,
16,1024,1088,64x64x16,64,64,16,4402,1.000000,0,
17,1088,1152,64x64x16,64,64,16,3713,1.000000,0,
18,1152,1216,64x64x16,64,64,16,3584,1.000000,0,
19,1216,1280,64x64x16,64,64,16,3259,1.000000,0,
20,1280,1344,64x64x16,64,64,16,2752,1.000000,0,
21,1344,1408,64x64x16,64,64,16,2322,1.000000,0,
