ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
0,0,64,8x8x16,8,8,16,194,0.984536,81.35,0.015464,24.57,234,1
0,0,64,8x16x16,8,16,16,157,0.974522,97.80,0.025478,26.92,393,1
0,0,64,16x16x16,16,16,16,125,0.952000,120.00,0.048000,31.46,432,1
0,0,64,16x32x16,16,32,16,86,0.930233,138.75,0.069767,42.81,438,0
0,0,64,32x32x16,32,32,16,78,0.923077,143.50,0.076923,45.64,445,0
0,0,64,32x64x16,32,64,16,71,0.873239,163.00,0.126761,48.30,445,0
0,0,64,64x64x16,64,64,16,71,0.873239,163.00,0.126761,48.30,445,0
1,64,128,8x8x16,8,8,16,14345,0.970443,97.00,0.029557,26.04,442,1
1,64,128,8x16x16,8,16,16,9135,0.947236,132.00,0.052764,36.79,543,0
1,64,128,16x16x16,16,16,16,6039,0.910912,192.10,0.089088,50.50,842,0
1,64,128,16x32x16,16,32,16,4239,0.849021,250.10,0.150979,67.78,1269,0
1,64,128,32x32x16,32,32,16,3151,0.812440,331.00,0.187560,86.33,1577,0
1,64,128,32x64x16,32,64,16,2204,0.701906,432.70,0.298094,120.43,1641,0
1,64,128,64x64x16,64,64,16,1882,0.684910,495.95,0.315090,138.42,2471,0
2,128,192,8x8x16,8,8,16,108663,0.991175,43.00,0.008825,18.62,459,1
2,128,192,8x16x16,8,16,16,60532,0.981398,69.00,0.018602,30.11,634,1
2,128,192,16x16x16,16,16,16,32993,0.958749,116.00,0.041251,49.59,763,1
2,128,192,16x32x16,16,32,16,19183,0.850023,183.90,0.149977,80.39,1186,0
2,128,192,32x32x16,32,32,16,10823,0.502910,310.00,0.497090,135.15,1492,0
2,128,192,32x64x16,32,64,16,7046,0.448765,509.00,0.551235,201.79,1975,0
2,128,192,64x64x16,64,64,16,4011,0.397407,865.50,0.602593,342.67,2756,0
3,192,256,8x8x16,8,8,16,155236,0.994602,37.00,0.005398,13.61,307,1
3,192,256,8x16x16,8,16,16,87685,0.988573,56.00,0.011427,21.68,435,1
3,192,256,16x16x16,16,16,16,48277,0.969861,97.00,0.030139,35.55,504,1
3,192,256,16x32x16,16,32,16,27824,0.937464,148.00,0.062536,58.27,841,0
3,192,256,32x32x16,32,32,16,14929,0.751423,257.60,0.248577,102.05,1033,0
3,192,256,32x64x16,32,64,16,9090,0.423322,388.55,0.576678,162.76,1884,0
3,192,256,64x64x16,64,64,16,5327,0.368876,670.70,0.631124,270.55,2008,0
4,256,320,8x8x16,8,8,16,169249,0.998381,31.00,0.001619,10.71,223,1
4,256,320,8x16x16,8,16,16,99628,0.992884,45.00,0.007116,16.37,331,1
4,256,320,16x16x16,16,16,16,56535,0.981728,75.00,0.018272,25.94,458,1
4,256,320,16x32x16,16,32,16,32843,0.958286,114.00,0.041714,42.14,775,1
4,256,320,32x32x16,32,32,16,18039,0.896946,196.10,0.103054,72.24,816,0
4,256,320,32x64x16,32,64,16,10891,0.603893,277.00,0.396107,116.12,1342,0
4,256,320,64x64x16,64,64,16,6145,0.436127,475.80,0.563873,199.97,1563,0
5,320,384,8x8x16,8,8,16,144516,0.999903,23.00,0.000097,7.95,163,1
5,320,384,8x16x16,8,16,16,90456,0.998541,32.00,0.001459,11.43,240,1
5,320,384,16x16x16,16,16,16,57262,0.995023,48.00,0.004977,16.18,313,1
5,320,384,16x32x16,16,32,16,34270,0.984856,70.00,0.015144,25.49,504,1
5,320,384,32x32x16,32,32,16,19379,0.956035,119.00,0.043965,42.49,515,1
5,320,384,32x64x16,32,64,16,11886,0.895507,175.00,0.104493,67.33,804,0
5,320,384,64x64x16,64,64,16,6772,0.605582,301.45,0.394418,114.89,969,0
6,384,448,8x8x16,8,8,16,124633,1.000000,17.00,0.000000,6.23,120,1
6,384,448,8x16x16,8,16,16,80735,0.999505,23.00,0.000495,8.64,183,1
6,384,448,16x16x16,16,16,16,52318,0.998547,35.00,0.001453,12.00,219,1
6,384,448,16x32x16,16,32,16,32951,0.994264,48.00,0.005736,17.98,315,1
6,384,448,32x32x16,32,32,16,19437,0.982045,79.00,0.017955,28.85,407,1
6,384,448,32x64x16,32,64,16,12205,0.960262,115.00,0.039738,44.65,589,1
6,384,448,64x64x16,64,64,16,6771,0.816128,196.50,0.183872,78.03,782,0
7,448,512,8x8x16,8,8,16,109207,1.000000,14.00,0.000000,5.16,103,1
7,448,512,8x16x16,8,16,16,72599,0.999848,18.00,0.000152,6.98,158,1
7,448,512,16x16x16,16,16,16,47682,0.999602,27.00,0.000398,9.56,184,1
7,448,512,16x32x16,16,32,16,31147,0.997656,37.00,0.002344,13.80,339,1
7,448,512,32x32x16,32,32,16,19544,0.993041,59.00,0.006959,20.81,353,1
7,448,512,32x64x16,32,64,16,12384,0.982154,85.00,0.017846,31.89,542,1
7,448,512,64x64x16,64,64,16,7099,0.938724,141.00,0.061276,53.97,575,0
8,512,576,8x8x16,8,8,16,92914,1.000000,11.00,0.000000,4.27,72,1
8,512,576,8x16x16,8,16,16,63192,1.000000,15.00,0.000000,5.65,115,1
8,512,576,16x16x16,16,16,16,41937,1.000000,21.00,0.000000,7.63,115,1
8,512,576,16x32x16,16,32,16,28211,0.999646,29.00,0.000354,10.71,165,1
8,512,576,32x32x16,32,32,16,18377,0.998531,45.00,0.001469,15.53,187,1
8,512,576,32x64x16,32,64,16,11936,0.993800,62.00,0.006200,23.20,317,1
8,512,576,64x64x16,64,64,16,7060,0.973371,101.00,0.026629,38.09,422,1
9,576,640,8x8x16,8,8,16,82766,1.000000,10.00,0.000000,3.76,58,1
9,576,640,8x16x16,8,16,16,57343,1.000000,13.00,0.000000,4.89,103,1
9,576,640,16x16x16,16,16,16,38278,1.000000,19.00,0.000000,6.60,103,1
9,576,640,16x32x16,16,32,16,26332,0.999810,25.00,0.000190,9.04,177,1
9,576,640,32x32x16,32,32,16,17438,0.999369,38.00,0.000631,12.89,198,1
9,576,640,32x64x16,32,64,16,11695,0.996409,52.00,0.003591,18.64,319,1
9,576,640,64x64x16,64,64,16,7132,0.985278,84.00,0.014722,29.70,354,1
10,640,704,8x8x16,8,8,16,74388,1.000000,9.00,0.000000,3.36,49,1
10,640,704,8x16x16,8,16,16,52129,1.000000,11.00,0.000000,4.32,87,1
10,640,704,16x16x16,16,16,16,35149,1.000000,17.00,0.000000,5.78,92,1
10,640,704,16x32x16,16,32,16,24588,0.999878,21.00,0.000122,7.79,157,1
10,640,704,32x32x16,32,32,16,16356,0.999572,33.00,0.000428,11.04,160,1
10,640,704,32x64x16,32,64,16,11259,0.998224,45.00,0.001776,15.58,240,1
10,640,704,64x64x16,64,64,16,7037,0.993463,70.00,0.006537,24.16,298,1
11,704,768,8x8x16,8,8,16,66340,1.000000,8.00,0.000000,3.00,37,1
11,704,768,8x16x16,8,16,16,47111,1.000000,10.00,0.000000,3.80,62,1
11,704,768,16x16x16,16,16,16,31818,1.000000,14.00,0.000000,5.06,66,1
11,704,768,16x32x16,16,32,16,22621,1.000000,19.00,0.000000,6.72,95,1
11,704,768,32x32x16,32,32,16,15132,1.000000,28.00,0.000000,9.50,107,1
