ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
0,0,32,4x4x8,4,4,8,147,1.000000,55.70,0.000000,17.97,86,1
0,0,32,4x8x8,4,8,8,111,1.000000,64.00,0.000000,20.01,86,1
0,0,32,8x8x8,8,8,8,83,1.000000,82.80,0.000000,23.92,98,1
0,0,32,8x16x8,8,16,8,54,1.000000,90.20,0.000000,32.09,103,1
0,0,32,16x16x8,16,16,8,47,1.000000,97.90,0.000000,34.66,106,1
0,0,32,16x32x8,16,32,8,42,1.000000,102.50,0.000000,35.83,126,1
0,0,32,32x32x8,32,32,8,42,1.000000,102.50,0.000000,35.83,126,1
1,32,64,4x4x8,4,4,8,11256,0.990494,72.00,0.009506,24.20,223,1
1,32,64,4x8x8,4,8,8,6753,0.973641,102.00,0.026359,33.36,332,1
1,32,64,8x8x8,8,8,8,4486,0.931342,149.00,0.068658,43.10,461,0
1,32,64,8x16x8,8,16,8,2953,0.872333,204.40,0.127667,58.82,600,0
1,32,64,16x16x8,16,16,8,2262,0.845712,271.90,0.154288,70.88,971,0
1,32,64,16x32x8,16,32,8,1479,0.713320,337.20,0.286680,103.12,1003,0
1,32,64,32x32x8,32,32,8,1226,0.668842,384.75,0.331158,121.47,1266,0
2,64,96,4x4x8,4,4,8,84844,0.994178,57.00,0.005822,26.09,290,1
2,64,96,4x8x8,4,8,8,45580,0.983633,89.00,0.016367,40.38,378,1
2,64,96,8x8x8,8,8,8,24384,0.921793,141.00,0.078207,62.49,550,0
2,64,96,8x16x8,8,16,8,13504,0.694609,235.85,0.305391,101.27,909,0
2,64,96,16x16x8,16,16,8,7498,0.428914,410.00,0.571086,165.20,1433,0
2,64,96,16x32x8,16,32,8,4500,0.369556,662.00,0.630444,260.78,1610,0
2,64,96,32x32x8,32,32,8,2448,0.304330,1180.00,0.695670,449.86,2407,0
3,96,128,4x4x8,4,4,8,118473,0.993788,55.00,0.006212,21.69,282,1
3,96,128,4x8x8,4,8,8,63561,0.980239,83.00,0.019761,33.73,456,1
3,96,128,8x8x8,8,8,8,33459,0.945665,133.00,0.054335,53.55,564,0
3,96,128,8x16x8,8,16,8,18311,0.793676,214.00,0.206324,88.00,872,0
3,96,128,16x16x8,16,16,8,9556,0.522918,359.00,0.477082,150.96,1337,0
3,96,128,16x32x8,16,32,8,5485,0.284777,563.00,0.715223,248.40,2010,0
3,96,128,32x32x8,32,32,8,3119,0.286310,988.00,0.713690,414.63,2479,0
4,128,160,4x4x8,4,4,8,132991,0.995285,51.50,0.004715,18.33,246,1
4,128,160,4x8x8,4,8,8,72496,0.985751,76.00,0.014249,28.04,355,1
4,128,160,8x8x8,8,8,8,38610,0.959803,117.00,0.040197,43.98,485,0
4,128,160,8x16x8,8,16,8,21413,0.880353,183.00,0.119647,71.21,749,0
4,128,160,16x16x8,16,16,8,11443,0.631565,309.00,0.368435,119.62,1046,0
4,128,160,16x32x8,16,32,8,6509,0.369028,473.20,0.630972,198.73,1881,0
4,128,160,32x32x8,32,32,8,3592,0.285356,817.00,0.714644,340.06,2165,0
5,160,192,4x4x8,4,4,8,117606,0.998554,43.00,0.001446,15.05,195,1
5,160,192,4x8x8,4,8,8,67969,0.993070,61.00,0.006930,21.66,300,1
5,160,192,8x8x8,8,8,8,39737,0.977427,91.00,0.022573,30.77,397,1
5,160,192,8x16x8,8,16,8,22459,0.943853,135.00,0.056147,48.85,562,0
5,160,192,16x16x8,16,16,8,12252,0.829334,220.00,0.170666,80.36,800,0
5,160,192,16x32x8,16,32,8,7098,0.574669,335.15,0.425331,131.38,1306,0
5,160,192,32x32x8,32,32,8,3920,0.369898,581.05,0.630102,224.99,1658,0
