ring_j,inner_T,outer_T,Bstar,bx,by,bz,n_samples_at_Bstar,coverage_at_Bstar,low_sample,note
0,0,32,32x32x8,32,32,8,42,1.000000,1,
1,32,64,4x8x8,4,8,8,6753,0.973641,0,
2,64,96,4x8x8,4,8,8,45580,0.983633,0,
3,96,128,4x8x8,4,8,8,63561,0.980239,0,
4,128,160,4x8x8,4,8,8,72496,0.985751,0,
5,160,192,8x8x8,8,8,8,39737,0.977427,0,
6,192,224,8x8x8,8,8,8,36961,0.983199,0,
7,224,256,8x16x8,8,16,8,20803,0.976398,0,
8,256,288,8x16x8,8,16,8,18644,0.980905,0,
9,288,320,8x16x8,8,16,8,17585,0.982883,0,
10,320,352,8x16x8,8,16,8,15686,0.986166,0,
11,352,384,16x16x8,16,16,8,9496,0.977359,0,
12,384,416,16x16x8,16,16,8,8476,0.984899,0,
13,416,448,16x16x8,16,16,8,7295,0.987114,0,
14,448,480,16x32x8,16,32,8,4722,0.974375,0,
15,480,512,16x32x8,16,32,8,4081,0.984808,0,
16,512,544,32x32x8,32,32,8,2478,0.971348,0,
17,544,576,32x32x8,32,32,8,2293,0.974706,0,
18,576,608,32x32x8,32,32,8,1954,0.986182,0,
19,608,640,32x32x8,32,32,8,1745,0.989685,0,
20,640,672,32x32x8,32,32,8,1572,0.995547,0,
21,672,704,32x32x8,32,32,8,1427,0.999299,0,
