ring_j,inner_T,outer_T,Bstar,bx,by,bz,n_samples_at_Bstar,coverage_at_Bstar,low_sample,note
0,0,16,16x16x8,16,16,8,65,1.000000,0,
1,16,32,8x4x8,8,4,8,2642,0.975776,0,
2,32,48,4x4x8,4,4,8,15451,0.989515,0,
3,48,64,4x4x8,4,4,8,22114,0.983314,0,
4,64,80,4x4x8,4,4,8,26765,0.988007,0,
5,80,96,8x4x8,8,4,8,15504,0.960397,0,
6,96,112,8x4x8,8,4,8,15682,0.974939,0,
7,112,128,8x4x8,8,4,8,15969,0.985347,0,
8,128,144,8x8x8,8,8,8,8900,0.962697,0,
9,144,160,8x8x8,8,8,8,8843,0.966301,0,
10,160,176,8x8x8,8,8,8,8449,0.974316,0,
11,176,192,8x8x8,8,8,8,8080,0.979208,0,
12,192,208,8x8x8,8,8,8,7800,0.986667,0,
13,208,224,16x8x8,16,8,8,4542,0.961691,0,
14,224,240,16x8x8,16,8,8,4136,0.962524,0,
15,240,256,16x8x8,16,8,8,3826,0.973340,0,
16,256,272,16x8x8,16,8,8,3437,0.980797,0,
17,272,288,16x16x8,16,16,8,2098,0.961868,0,
18,288,304,16x16x8,16,16,8,1958,0.967314,0,
19,304,320,16x16x8,16,16,8,1854,0.966019,0,
20,320,336,16x16x8,16,16,8,1640,0.971341,0,
21,336,352,16x16x8,16,16,8,1478,0.989175,0,
