ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
0,0,16,4x4x8,4,4,8,1626,1.000000,60.00,0.000000,21.86,109,1
0,0,16,8x4x8,8,4,8,1328,0.996235,70.00,0.003765,24.46,143,1
0,0,16,8x8x8,8,8,8,742,0.990566,88.00,0.009434,36.05,161,1
0,0,16,16x8x8,16,8,8,679,0.989691,92.00,0.010309,38.66,167,1
0,0,16,16x16x8,16,16,8,369,0.948509,128.20,0.051491,59.23,188,0
1,16,32,4x4x8,4,4,8,9444,0.997353,93.00,0.002647,55.59,154,1
1,16,32,8x4x8,8,4,8,5051,0.867353,148.00,0.132647,86.26,255,0
1,16,32,8x8x8,8,8,8,2647,0.392898,232.00,0.607102,137.39,364,0
1,16,32,16x8x8,16,8,8,1485,0.268013,384.00,0.731987,219.13,560,0
1,16,32,16x16x8,16,16,8,782,0.098465,650.00,0.901535,374.21,823,0
2,32,48,4x4x8,4,4,8,12843,0.995017,97.00,0.004983,56.00,172,1
2,32,48,8x4x8,8,4,8,6740,0.863353,154.00,0.136647,88.82,282,0
2,32,48,8x8x8,8,8,8,3654,0.394910,240.00,0.605090,136.65,403,0
2,32,48,16x8x8,16,8,8,1958,0.292646,407.00,0.707354,228.59,619,0
2,32,48,16x16x8,16,16,8,1061,0.267672,674.00,0.732328,379.02,1075,0
3,48,64,4x4x8,4,4,8,14476,0.998480,81.00,0.001520,40.76,161,1
3,48,64,8x4x8,8,4,8,7688,0.949272,129.00,0.050728,63.89,237,0
3,48,64,8x8x8,8,8,8,4135,0.668198,196.00,0.331802,99.04,340,0
3,48,64,16x8x8,16,8,8,2219,0.372690,331.00,0.627310,166.21,538,0
3,48,64,16x16x8,16,16,8,1259,0.327244,550.10,0.672756,262.57,830,0
4,64,80,4x4x8,4,4,8,14809,0.999055,70.00,0.000945,31.29,150,1
4,64,80,8x4x8,8,4,8,7971,0.980053,108.00,0.019947,48.38,240,1
4,64,80,8x8x8,8,8,8,4347,0.870715,162.70,0.129285,73.82,326,0
4,64,80,16x8x8,16,8,8,2352,0.537415,265.00,0.462585,122.85,491,0
4,64,80,16x16x8,16,16,8,1314,0.340183,423.35,0.659817,197.63,756,0
5,80,96,4x4x8,4,4,8,14359,0.999164,63.00,0.000836,25.85,167,1
5,80,96,8x4x8,8,4,8,8011,0.989889,94.00,0.010111,38.50,217,1
5,80,96,8x8x8,8,8,8,4417,0.939552,136.00,0.060448,58.23,325,0
5,80,96,16x8x8,16,8,8,2408,0.708056,223.00,0.291944,96.29,435,0
5,80,96,16x16x8,16,16,8,1347,0.430586,346.00,0.569414,154.42,631,0
6,96,112,4x4x8,4,4,8,12980,0.999538,55.00,0.000462,21.85,149,1
6,96,112,8x4x8,8,4,8,7633,0.993581,80.00,0.006419,31.04,218,1
6,96,112,8x8x8,8,8,8,4339,0.971192,110.00,0.028808,45.43,272,1
6,96,112,16x8x8,16,8,8,2434,0.844289,180.00,0.155711,72.43,412,0
6,96,112,16x16x8,16,16,8,1362,0.592511,276.00,0.407489,116.40,658,0
7,112,128,4x4x8,4,4,8,10889,0.999908,52.00,0.000092,19.59,133,1
7,112,128,8x4x8,8,4,8,6572,0.995587,75.00,0.004413,27.07,178,1
7,112,128,8x8x8,8,8,8,3914,0.977772,101.00,0.022228,37.87,247,1
7,112,128,16x8x8,16,8,8,2272,0.908011,163.00,0.091989,58.60,367,0
7,112,128,16x16x8,16,16,8,1334,0.750375,235.00,0.249625,89.87,445,0
8,128,144,4x4x8,4,4,8,8783,1.000000,47.00,0.000000,16.99,128,1
8,128,144,8x4x8,8,4,8,5373,0.997022,67.00,0.002978,23.11,188,1
8,128,144,8x8x8,8,8,8,3320,0.989458,87.05,0.010542,31.45,225,1
8,128,144,16x8x8,16,8,8,2002,0.937562,135.00,0.062438,46.98,303,0
8,128,144,16x16x8,16,16,8,1223,0.848733,192.00,0.151267,69.13,465,0
9,144,160,4x4x8,4,4,8,6955,0.999712,46.00,0.000288,15.93,144,1
9,144,160,8x4x8,8,4,8,4393,0.998179,64.00,0.001821,20.95,171,1
9,144,160,8x8x8,8,8,8,2798,0.991422,80.00,0.008578,27.54,223,1
9,144,160,16x8x8,16,8,8,1741,0.956347,123.00,0.043653,39.94,346,0
9,144,160,16x16x8,16,16,8,1092,0.888278,170.45,0.111722,57.39,392,0
10,160,176,4x4x8,4,4,8,5326,1.000000,40.00,0.000000,14.27,104,1
10,160,176,8x4x8,8,4,8,3412,0.999121,52.00,0.000879,18.43,162,1
10,160,176,8x8x8,8,8,8,2236,0.995528,70.25,0.004472,23.59,203,1
10,160,176,16x8x8,16,8,8,1451,0.979325,102.00,0.020675,32.79,261,1
10,160,176,16x16x8,16,16,8,944,0.935381,136.00,0.064619,45.24,295,0
