activation_id,name,scale,zero_point,signed,qmin,qmax,seen
0,input,0.5542992353439331,0,True,-127,127,True
1,l00_conv_input,0.032009076327085495,0,True,-127,127,True
2,l01_conv1,0.05022406950592995,0,True,-127,127,True
3,l02_conv2_0,0.06282740831375122,0,True,-127,127,True
4,l03_conv2_1,0.06375657021999359,0,True,-127,127,True
5,l04_conv2_2,0.07272562384605408,0,True,-127,127,True
6,l05_conv3_0,0.09801605343818665,0,True,-127,127,True
7,l06_conv3_1,0.04453936591744423,0,True,-127,127,True
8,l07_conv3_2,0.05063077434897423,0,True,-127,127,True
9,l08_conv4_0,0.11466000974178314,0,True,-127,127,True
10,l09_conv4_1,0.05798942968249321,0,True,-127,127,True
11,l10_conv4_2,0.06614619493484497,0,True,-127,127,True
12,l11_conv_out,0.08083052933216095,0,True,-127,127,True
