layer_id,module_name,cout,min,max,max_abs,signed_bits_needed,p99_abs,p999_abs,outlier_channels,shift_min,shift_max
0,conv_input.0,16,-430,3267,3267,13,3078.4499999999994,3248.1450000000013,,1,7
1,conv1.0.0,16,-6143,18947,18947,16,18009.05,18853.20500000001,,8,10
2,conv2.0.0,32,-2504,5728,5728,14,5571.14,5712.314000000002,,8,10
3,conv2.1.0,32,-9743,14991,14991,15,14808.1,14972.710000000003,,9,11
4,conv2.2.0,32,-3600,11207,11207,15,10946.6,11180.960000000005,,9,11
5,conv3.0.0,64,-5329,9183,9183,15,8324.939999999997,9097.194000000007,,9,11
6,conv3.1.0,64,-9723,9200,9723,15,9393.509999999998,9690.051000000003,,8,10
7,conv3.2.0,64,-15577,10940,15577,15,14044.209999999994,15423.721000000012,,9,11
8,conv4.0.0,64,-5534,11483,11483,15,9112.30999999999,11245.931000000017,,10,11
9,conv4.1.0,64,-7833,6955,7833,14,7279.859999999998,7777.686000000004,,8,10
10,conv4.2.0,64,-23764,15338,23764,16,20515.719999999987,23439.172000000024,,10,10
11,conv_out.0,128,-5634,1341,5634,14,4914.510000000002,5559.324000000011,,8,9
