layer_id,module_name,channel,folded_bias_fp32
0,conv_input.0,0,0.2671804428100586
0,conv_input.0,1,0.17144456505775452
0,conv_input.0,2,0.18663270771503448
0,conv_input.0,3,0.07031846046447754
0,conv_input.0,4,0.5958038568496704
0,conv_input.0,5,-0.3656453490257263
0,conv_input.0,6,0.2599725127220154
0,conv_input.0,7,-0.5422617197036743
0,conv_input.0,8,-0.8178950548171997
0,conv_input.0,9,-0.3011259436607361
0,conv_input.0,10,0.034128542989492416
0,conv_input.0,11,-0.8389813899993896
0,conv_input.0,12,-0.375328004360199
0,conv_input.0,13,1.046703815460205
0,conv_input.0,14,0.4247753918170929
0,conv_input.0,15,-0.218073770403862
1,conv1.0.0,0,0.8477020859718323
1,conv1.0.0,1,1.1065211296081543
1,conv1.0.0,2,0.13830921053886414
1,conv1.0.0,3,-1.0078331232070923
1,conv1.0.0,4,0.324404776096344
1,conv1.0.0,5,0.012815050780773163
1,conv1.0.0,6,0.6400904655456543
1,conv1.0.0,7,0.4567835330963135
1,conv1.0.0,8,0.4629467725753784
1,conv1.0.0,9,1.1577601432800293
1,conv1.0.0,10,-0.2911601662635803
1,conv1.0.0,11,-0.08578494191169739
1,conv1.0.0,12,0.9573864936828613
1,conv1.0.0,13,0.4211185574531555
1,conv1.0.0,14,0.37975314259529114
1,conv1.0.0,15,1.031026840209961
2,conv2.0.0,0,0.0036432440392673016
2,conv2.0.0,1,0.4718274474143982
2,conv2.0.0,2,0.3740982413291931
2,conv2.0.0,3,0.2235209196805954
2,conv2.0.0,4,0.7117518782615662
2,conv2.0.0,5,-0.12938496470451355
2,conv2.0.0,6,1.4577399492263794
2,conv2.0.0,7,0.36947643756866455
2,conv2.0.0,8,0.9300946593284607
2,conv2.0.0,9,-0.09231127798557281
2,conv2.0.0,10,-0.039338186383247375
2,conv2.0.0,11,0.019548550248146057
2,conv2.0.0,12,0.05145386606454849
2,conv2.0.0,13,-0.19829972088336945
2,conv2.0.0,14,0.18207436800003052
2,conv2.0.0,15,-0.14508891105651855
2,conv2.0.0,16,-0.17677682638168335
2,conv2.0.0,17,0.9955376386642456
2,conv2.0.0,18,1.155112862586975
2,conv2.0.0,19,-0.14749795198440552
2,conv2.0.0,20,0.22949805855751038
2,conv2.0.0,21,0.16527700424194336
2,conv2.0.0,22,0.040668636560440063
2,conv2.0.0,23,0.016849353909492493
2,conv2.0.0,24,-0.12304484844207764
2,conv2.0.0,25,0.2036237120628357
2,conv2.0.0,26,0.15411293506622314
2,conv2.0.0,27,0.2226649671792984
2,conv2.0.0,28,-0.2711626887321472
2,conv2.0.0,29,0.9638787508010864
2,conv2.0.0,30,-0.21215398609638214
2,conv2.0.0,31,-0.05653664469718933
3,conv2.1.0,0,-0.18631334602832794
3,conv2.1.0,1,-0.4404553174972534
3,conv2.1.0,2,1.7136688232421875
3,conv2.1.0,3,0.6013266444206238
3,conv2.1.0,4,1.3837867975234985
3,conv2.1.0,5,0.8668544292449951
3,conv2.1.0,6,0.38327836990356445
3,conv2.1.0,7,0.393196165561676
3,conv2.1.0,8,0.5898985862731934
3,conv2.1.0,9,1.1966451406478882
3,conv2.1.0,10,1.186657190322876
3,conv2.1.0,11,-0.20391935110092163
3,conv2.1.0,12,-0.21939051151275635
3,conv2.1.0,13,1.0800586938858032
3,conv2.1.0,14,0.3864322304725647
3,conv2.1.0,15,0.7463476061820984
3,conv2.1.0,16,-1.2367181777954102
3,conv2.1.0,17,0.8494463562965393
3,conv2.1.0,18,0.4242628514766693
3,conv2.1.0,19,0.9037023782730103
3,conv2.1.0,20,0.771661102771759
3,conv2.1.0,21,0.22157779335975647
3,conv2.1.0,22,0.6411547660827637
3,conv2.1.0,23,0.4337647557258606
3,conv2.1.0,24,0.7537825703620911
3,conv2.1.0,25,1.5352706909179688
3,conv2.1.0,26,1.0358436107635498
