activation_id,name,scale,zero_point,signed,qmin,qmax,seen
0,input,0.5542992353439331,0,True,-127,127,True
1,l00_conv_input,0.0398314893245697,0,True,-127,127,True
2,l01_conv1,0.05318658426403999,0,True,-127,127,True
3,l02_conv2_0,0.06621519476175308,0,True,-127,127,True
4,l03_conv2_1,0.07131460309028625,0,True,-127,127,True
5,l04_conv2_2,0.08460211008787155,0,True,-127,127,True
6,l05_conv3_0,0.09990841150283813,0,True,-127,127,True
7,l06_conv3_1,0.04735187441110611,0,True,-127,127,True
8,l07_conv3_2,0.05855613574385643,0,True,-127,127,True
9,l08_conv4_0,0.12364660948514938,0,True,-127,127,True
10,l09_conv4_1,0.059048958122730255,0,True,-127,127,True
11,l10_conv4_2,0.06530765444040298,0,True,-127,127,True
12,l11_conv_out,0.08394952118396759,0,True,-127,127,True
