layer_id,module_name,cout,min,max,max_abs,signed_bits_needed,p99_abs,p999_abs,outlier_channels,shift_min,shift_max
0,conv_input.0,16,-56,65,65,8,63.65,64.86500000000001,,1,1
1,conv1.0.0,16,-3772,4282,4282,14,4266.1,4280.41,,8,8
2,conv2.0.0,32,-868,4877,4877,14,4552.430000000001,4844.543000000005,,8,8
3,conv2.1.0,32,-7094,10124,10124,15,9765.020000000002,10088.102000000006,,9,9
4,conv2.2.0,32,-1773,7562,7562,14,7137.300000000002,7519.530000000006,,9,9
5,conv3.0.0,64,-2935,4946,4946,14,4564.219999999998,4907.822000000003,,9,9
6,conv3.1.0,64,-2416,4880,4880,14,4634.299999999999,4855.430000000002,,8,8
7,conv3.2.0,64,-6501,8807,8807,15,7599.289999999995,8686.229000000008,,9,9
8,conv4.0.0,64,-1992,4862,4862,14,3889.909999999996,4764.791000000007,,10,10
9,conv4.1.0,64,-4279,4626,4626,14,4416.209999999999,4605.021000000002,,8,8
10,conv4.2.0,64,-17875,10135,17875,16,13843.629999999983,17471.86300000003,,9,9
11,conv_out.0,128,-3319,754,3319,13,2521.7400000000007,3222.480000000014,,8,8
