layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
0,conv_input.0,0,15,5,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,1,10,5,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,2,15,5,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,3,5,4,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,4,37,7,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,5,-23,6,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,6,18,6,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,7,-33,7,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,8,-53,7,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,9,-21,6,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,10,4,4,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,11,-56,7,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,12,-21,6,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,13,65,8,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,14,26,6,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
0,conv_input.0,15,-11,5,1,0.5542992353439331,0.027663517743349075,0.0398314893245697,0.3849684506424709,0.5,0.29880773129734084,True,True
1,conv1.0.0,0,3098,13,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,1,4176,14,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,2,491,10,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,3,-3772,13,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,4,1111,12,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,5,9,5,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,6,2392,13,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,7,1665,12,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,8,1738,12,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,9,4282,14,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,10,-1006,11,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,11,-324,10,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,12,3564,13,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,13,1567,12,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,14,1346,12,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
1,conv1.0.0,15,3856,13,8,0.0398314893245697,0.006844029761850834,0.05318658426403999,0.005125501142221533,0.00390625,0.23787940113365702,True,True
2,conv2.0.0,0,1,2,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,1,1532,12,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,2,1193,12,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,3,768,11,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,4,2378,13,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,5,-452,10,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,6,4877,14,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,7,1235,12,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,8,3051,13,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,9,-283,10,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,10,-117,8,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,11,82,8,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
2,conv2.0.0,12,170,9,8,0.05318658426403999,0.005721735302358866,0.06621519476175308,0.004595917264766876,0.00390625,0.15006085293440513,True,True
