layer_id,module_name,channel,weight_scale,zero_point,qmin,qmax
0,conv_input.0,-1,0.027663517743349075,0,-127,26
1,conv1.0.0,-1,0.006844029761850834,0,-127,104
2,conv2.0.0,-1,0.005721735302358866,0,-127,127
3,conv2.1.0,-1,0.0025692125782370567,0,-127,101
4,conv2.2.0,-1,0.0025416556745767593,0,-124,127
5,conv3.0.0,-1,0.0023687686771154404,0,-127,123
6,conv3.1.0,-1,0.0016228362219408154,0,-127,107
7,conv3.2.0,-1,0.0024677489418536425,0,-127,95
8,conv4.0.0,-1,0.0026252102106809616,0,-93,127
9,conv4.1.0,-1,0.0014235097914934158,0,-127,82
10,conv4.2.0,-1,0.0015361220575869083,0,-126,127
11,conv_out.0,-1,0.004939448554068804,0,-127,118
