layer_id,module_name,cout,min,max,max_abs,signed_bits_needed,p99_abs,p999_abs,outlier_channels,shift_min,shift_max
0,conv_input.0,16,-546,3668,3668,13,3458.7499999999995,3647.0750000000016,,0,8
1,conv1.0.0,16,-6292,18545,18545,16,17807.6,18471.260000000006,,8,11
2,conv2.0.0,32,-2653,7129,7129,14,7022.05,7118.305000000001,,7,9
3,conv2.1.0,32,-13939,21860,21860,16,21205.280000000002,21794.52800000001,,9,11
4,conv2.2.0,32,-4520,11937,11937,15,11917.47,11935.047,,9,11
5,conv3.0.0,64,-5316,10318,10318,15,8843.169999999995,10170.51700000001,,9,10
6,conv3.1.0,64,-13477,16895,16895,16,16691.51,16874.651,,9,11
7,conv3.2.0,64,-13697,10755,13697,15,13485.949999999999,13675.895000000002,,9,10
8,conv4.0.0,64,-7254,13893,13893,15,10933.889999999989,13597.089000000022,,10,11
9,conv4.1.0,64,-10993,9605,10993,15,10118.559999999996,10905.556000000006,,8,10
10,conv4.2.0,64,-37125,23483,37125,17,30811.139999999974,36493.614000000045,,9,10
11,conv_out.0,128,-8846,2143,8846,15,7609.93,8690.425000000023,,8,9
