activation_id,name,scale,zero_point,signed,qmin,qmax,seen
0,input,0.5279212594032288,0,True,-127,127,True
1,l00_conv_input,0.03175072371959686,0,True,-127,127,True
2,l01_conv1,0.0470319427549839,0,True,-127,127,True
3,l02_conv2_0,0.05102632939815521,0,True,-127,127,True
4,l03_conv2_1,0.0645555704832077,0,True,-127,127,True
5,l04_conv2_2,0.0693628191947937,0,True,-127,127,True
6,l05_conv3_0,0.06054360046982765,0,True,-127,127,True
7,l06_conv3_1,0.04860866814851761,0,True,-127,127,True
8,l07_conv3_2,0.048030078411102295,0,True,-127,127,True
9,l08_conv4_0,0.08817043155431747,0,True,-127,127,True
10,l09_conv4_1,0.040424708276987076,0,True,-127,127,True
11,l10_conv4_2,0.041161518543958664,0,True,-127,127,True
12,l11_conv_out,0.051786262542009354,0,True,-127,127,True
